pcode_2,district,governorate,low_functionality_signal,sustained_cholera_pressure,strong_negative_signal,num_signals
YE1606,Al Mutun,Al Jawf,True,False,False,1
YE1604,Az Zahir,Al Jawf,True,False,False,1
YE1610,Barat Al Anan,Al Jawf,True,False,False,1
YE1601,Khab wa Ash Sha'f,Al Jawf,True,False,False,1
YE1612,Kharab Al Marashi,Al Jawf,True,False,False,1
YE1611,Rajuzah,Al Jawf,True,False,False,1
YE2914,As Sawd,Amran,True,False,False,1
YE2913,As Sudah,Amran,True,False,False,1
YE2920,Bani Surim,Amran,True,False,False,1
YE2909,Dhibain,Amran,True,False,False,1
YE2908,Dhulaymat Habur,Amran,True,False,False,1
YE2918,Eyal Surayh,Amran,True,False,False,1
YE2902,Huth,Amran,True,False,False,1
YE2912,Jabal Eyal Yazid,Amran,True,False,False,1
YE2919,Khamir,Amran,True,False,False,1
YE2910,Kharif,Amran,True,False,False,1
YE2911,Raydah,Amran,True,False,False,1
YE2907,Suwayr,Amran,True,False,False,1
YE2008,Dhamar City,Dhamar,False,True,False,1
YE2004,Maghrib Ans,Dhamar,False,True,False,1
YE1704,Abs,Hajjah,True,False,False,1
YE1710,Aflah Ash Sham,Hajjah,True,False,False,1
YE1717,Al Maghrabah,Hajjah,True,False,False,1
YE1715,Al Mahabishah,Hajjah,True,False,False,1
YE1716,Al Miftah,Hajjah,True,False,False,1
YE1721,Ash Shahil,Hajjah,True,False,False,1
YE1725,Ash shaghadirah,Hajjah,True,False,False,1
YE1712,Aslam,Hajjah,True,False,False,1
YE1727,Bani Al Awam,Hajjah,True,False,False,1
YE1724,Bani Qays,Hajjah,True,False,False,1
YE1702,Harad,Hajjah,True,False,False,1
YE1705,Hayran,Hajjah,True,False,False,1
YE1711,Khayran Al Muharraq,Hajjah,True,False,False,1
YE1722,Ku'aydinah,Hajjah,True,False,False,1
YE1709,Kuhlan Ash Sharaf,Hajjah,True,False,False,1
YE1720,Mabyan,Hajjah,True,False,False,1
YE1703,Midi,Hajjah,True,False,False,1
YE1706,Mustaba,Hajjah,True,False,False,1
YE1726,Najrah,Hajjah,True,False,False,1
YE1713,Qafl Shammar,Hajjah,True,False,False,1
YE1719,Sharas,Hajjah,True,False,False,1
YE1723,Wadrah,Hajjah,True,False,False,1
YE1730,Washhah,Hajjah,True,False,False,1
YE1119,Adh Dhihar,Ibb,True,False,False,1
YE1118,Al Mashannah,Ibb,True,False,False,1
YE1111,Al Odayn,Ibb,True,False,False,1
YE1101,Al Qafr,Ibb,True,False,False,1
YE1104,An Nadirah,Ibb,True,False,False,1
YE1114,As Sabrah,Ibb,True,False,False,1
YE1106,As Saddah,Ibb,True,False,False,1
YE1115,As Saiyani,Ibb,True,False,False,1
YE1113,Ba'dan,Ibb,True,False,False,1
YE1110,Far' Al Odayn,Ibb,True,False,False,1
YE1109,Hazm Al Odayn,Ibb,True,False,False,1
YE1108,Hobeish,Ibb,True,False,False,1
YE1112,Jiblah,Ibb,True,False,False,1
YE1117,Mudhaykhirah,Ibb,True,False,False,1
YE2501,Al Had,Lahj,True,False,False,1
YE2513,Al Madaribah Wa Al Aarah,Lahj,True,False,False,1
YE2503,Al Maflahi,Lahj,True,False,False,1
YE2512,Al Maqatirah,Lahj,True,False,False,1
YE2510,Al Qubaytah,Lahj,True,False,False,1
YE2515,Tuban,Lahj,True,False,False,1
YE2502,Yafi',Lahj,True,False,False,1
YE2302,Arhab,Sana'a,True,False,False,1
YE2307,Bani Matar,Sana'a,True,False,False,1
YE2306,Bilad Ar Rus,Sana'a,True,False,False,1
YE2316,Jihanah,Sana'a,False,True,False,1
YE2310,Manakhah,Sana'a,True,False,False,1
YE2311,Sa'fan,Sana'a,True,False,False,1
YE2115,Ar Rawdah,Shabwah,True,False,False,1
YE2104,Arma'a,Shabwah,True,False,False,1
YE2112,As Sa'id,Shabwah,True,False,False,1
YE2102,At Talh,Shabwah,True,False,False,1
YE2113,Ataq,Shabwah,True,False,False,1
YE2106,Ayn,Shabwah,True,False,False,1
YE2101,Dahr,Shabwah,True,False,False,1
YE2114,Habban,Shabwah,True,False,False,1
YE2111,Hatib,Shabwah,True,False,False,1
YE2103,Jardan,Shabwah,True,False,False,1
YE2109,Markhah As Sufla,Shabwah,True,False,False,1
YE2105,Osaylan,Shabwah,True,False,False,1
YE2117,Radum,Shabwah,True,False,False,1
YE3006,Ad Dali',Ad Dali',False,False,False,0
YE3008,Al Azariq,Ad Dali',False,False,False,0
YE3005,Al Hasayn,Ad Dali',False,False,False,0
YE3009,Al Husha,Ad Dali',False,False,False,0
YE3004,Ash Shu'ayb,Ad Dali',False,False,False,0
YE3002,Damt,Ad Dali',False,False,False,0
YE3007,Jahaf,Ad Dali',False,False,False,0
YE3001,Juban,Ad Dali',False,False,False,0
YE3003,Qa'tabah,Ad Dali',False,False,False,0
YE2404,Al Burayqah,Aden,False,False,False,0
YE2406,Al Mu'alla,Aden,False,False,False,0
YE2401,Dar Sa'd,Aden,False,False,False,0
YE1411,As Sawadiyah,Al Bayda,False,False,False,0
YE1404,As Sawma'ah,Al Bayda,False,False,False,0
YE1419,Ash Sharyah,Al Bayda,False,False,False,0
YE1406,Dhi Na'im,Al Bayda,False,False,False,0
YE1408,Mukayras,Al Bayda,False,False,False,0
YE1809,Ad Dohi,Al Hodeidah,False,False,False,0
YE1814,Ad Durayhimi,Al Hodeidah,False,False,False,0
YE1823,Al Hali,Al Hodeidah,False,False,False,0
YE1821,Al Hawak,Al Hodeidah,False,False,False,0
YE1811,Al Hujjaylah,Al Hodeidah,False,False,False,0
YE1825,Al Jarrahi,Al Hodeidah,False,False,False,0
YE1820,Al Khukhah,Al Hodeidah,False,False,False,0
YE1816,Al Mansuriyah,Al Hodeidah,False,False,False,0
YE1813,Al Marawi'ah,Al Hodeidah,False,False,False,0
YE1808,Al Mighlaf,Al Hodeidah,False,False,False,0
YE1822,Al Mina,Al Hodeidah,False,False,False,0
YE1805,Al Munirah,Al Hodeidah,False,False,False,0
YE1806,Al Qanawis,Al Hodeidah,False,False,False,0
YE1802,Alluhayah,Al Hodeidah,False,False,False,0
YE1804,As Salif,Al Hodeidah,False,False,False,0
YE1815,As Sukhnah,Al Hodeidah,False,False,False,0
YE1826,At Tuhayta,Al Hodeidah,False,False,False,0
YE1807,Az Zaydiah,Al Hodeidah,False,False,False,0
YE1801,Az Zuhrah,Al Hodeidah,False,False,False,0
YE1810,Bajil,Al Hodeidah,False,False,False,0
YE1817,Bayt Al Faqih,Al Hodeidah,False,False,False,0
YE1812,Bura',Al Hodeidah,False,False,False,0
YE1819,Hays,Al Hodeidah,False,False,False,0
YE1818,Jabal Ras,Al Hodeidah,False,False,False,0
YE1803,Kamaran,Al Hodeidah,False,False,False,0
YE1824,Zabid,Al Hodeidah,False,False,False,0
YE1605,Al Hazm,Al Jawf,False,False,False,0
YE2804,Al Ghaydhah,Al Maharah,False,False,False,0
YE2806,Al Masilah,Al Maharah,False,False,False,0
YE2809,Haswin,Al Maharah,False,False,False,0
YE2802,Hat,Al Maharah,False,False,False,0
YE2803,Hawf,Al Maharah,False,False,False,0
YE2805,Man'ar,Al Maharah,False,False,False,0
YE2808,Qishn,Al Maharah,False,False,False,0
YE2807,Sayhut,Al Maharah,False,False,False,0
YE2801,Shahin,Al Maharah,False,False,False,0
YE2704,Al Khabt,Al Mahwit,False,False,False,0
YE2709,Al Mahwit,Al Mahwit,False,False,False,0
YE2708,Al Mahwit City,Al Mahwit,False,False,False,0
YE2703,Ar Rujum,Al Mahwit,False,False,False,0
YE2702,At Tawilah,Al Mahwit,False,False,False,0
YE2707,Bani Sa'd,Al Mahwit,False,False,False,0
YE2706,Hufash,Al Mahwit,False,False,False,0
YE2705,Melhan,Al Mahwit,False,False,False,0
YE2701,Shibam Kawkaban,Al Mahwit,False,False,False,0
YE2903,Al Ashah,Amran,False,False,False,0
YE2906,Al Madan,Amran,False,False,False,0
YE2901,Harf Sufyan,Amran,False,False,False,0
YE2916,Maswar,Amran,False,False,False,0
YE2904,Qaflat Odhar,Amran,False,False,False,0
YE2905,Shaharah,Amran,False,False,False,0
YE2917,Thula,Amran,False,False,False,0
YE2001,Al Hada,Dhamar,False,False,False,0
YE2012,Al Manar,Dhamar,False,False,False,0
YE2010,Ans,Dhamar,False,False,False,0
YE2011,Dawran Anis,Dhamar,False,False,False,0
YE2003,Jabal Ash sharq,Dhamar,False,False,False,0
YE2002,Jahran,Dhamar,False,False,False,0
YE2009,Mayfa'at Ans,Dhamar,False,False,False,0
YE2005,Otmah,Dhamar,False,False,False,0
YE2006,Wusab Al Aali,Dhamar,False,False,False,0
YE2007,Wusab As Safil,Dhamar,False,False,False,0
YE1914,Ad Dis,Hadramawt,False,False,False,0
YE1927,Al Mukalla City,Hadramawt,False,False,False,0
YE1925,Brum Mayf'ah,Hadramawt,False,False,False,0
YE1918,Daw'an,Hadramawt,False,False,False,0
YE3201,Hadibu,Hadramawt,False,False,False,0
YE1924,Hajar,Hadramawt,False,False,False,0
YE3202,Qalansiyah wa Abd Al Kuri,Hadramawt,False,False,False,0
YE1910,Sayun,Hadramawt,False,False,False,0
YE1908,Shibam,Hadramawt,False,False,False,0
YE1911,Tarim,Hadramawt,False,False,False,0
YE1919,Wadi Al Ayn,Hadramawt,False,False,False,0
YE1714,Aflah Al Yaman,Hajjah,False,False,False,0
YE1708,Al Jamimah,Hajjah,False,False,False,0
YE1701,Bakil Al Mir,Hajjah,False,False,False,0
YE1729,Hajjah,Hajjah,False,False,False,0
YE1718,Kuhlan Afar,Hajjah,False,False,False,0
YE1707,Kushar,Hajjah,False,False,False,0
YE1731,Qarah,Hajjah,False,False,False,0
YE1103,Ar Radmah,Ibb,False,False,False,0
YE1105,Ash Sha'ir,Ibb,False,False,False,0
YE2514,Al Hawtah,Lahj,False,False,False,0
YE2508,Al Malah,Lahj,False,False,False,0
YE2509,Al Musaymir,Lahj,False,False,False,0
YE2505,Habil Jabr,Lahj,False,False,False,0
YE2506,Halmin,Lahj,False,False,False,0
YE2507,Radfan,Lahj,False,False,False,0
YE2511,Tur Al Bahah,Lahj,False,False,False,0
YE2504,Yahr,Lahj,False,False,False,0
YE2611,Al Abdiyah,Ma'rib,False,False,False,0
YE2607,Al Jubah,Ma'rib,False,False,False,0
YE2605,Bidbadah,Ma'rib,False,False,False,0
YE2609,Harib,Ma'rib,False,False,False,0
YE2604,Harib Al Qaramish,Ma'rib,False,False,False,0
YE2614,Jabal Murad,Ma'rib,False,False,False,0
YE2613,Ma'rib,Ma'rib,False,False,False,0
YE2612,Ma'rib City,Ma'rib,False,False,False,0
YE2603,Madghal Al Jid'an,Ma'rib,False,False,False,0
YE2610,Mahliyah,Ma'rib,False,False,False,0
YE2601,Majzar,Ma'rib,False,False,False,0
YE2608,Rahabah,Ma'rib,False,False,False,0
YE2606,Sirwah,Ma'rib,False,False,False,0
YE3106,Al Ja'fariyyah,Raymah,False,False,False,0
YE3103,Al Jabin,Raymah,False,False,False,0
YE3102,As Salafiyyah,Raymah,False,False,False,0
YE3101,Bilad Atta'am,Raymah,False,False,False,0
YE3105,Kusmah,Raymah,False,False,False,0
YE3104,Mazhar,Raymah,False,False,False,0
YE2207,Adh Dhahir,Sa'dah,False,False,False,0
YE2213,Al Hashwah,Sa'dah,False,False,False,0
YE2212,As Safra,Sa'dah,False,False,False,0
YE2201,Baqim,Sa'dah,False,False,False,0
YE2204,Ghamr,Sa'dah,False,False,False,0
YE2208,Haydan,Sa'dah,False,False,False,0
YE2214,Kitaf wa Al Boqa',Sa'dah,False,False,False,0
YE2210,Majz,Sa'dah,False,False,False,0
YE2203,Monabbih,Sa'dah,False,False,False,0
YE2202,Qatabir,Sa'dah,False,False,False,0
YE2205,Razih,Sa'dah,False,False,False,0
YE2215,Sa'dah,Sa'dah,False,False,False,0
YE2211,Sahar,Sa'dah,False,False,False,0
YE2209,Saqin,Sa'dah,False,False,False,0
YE2206,Shada'a,Sa'dah,False,False,False,0
YE2315,Al Hissn,Sana'a,False,False,False,0
YE2303,Nihm,Sana'a,False,False,False,0
YE1306,Al Wehdah,Sana'a City,False,False,False,0
YE1305,As Sab'in,Sana'a City,False,False,False,0
YE1304,As Safiyah,Sana'a City,False,False,False,0
YE1307,At Tahrir,Sana'a City,False,False,False,0
YE1309,Ath Thawrah,Sana'a City,False,False,False,0
YE1303,Azaal,Sana'a City,False,False,False,0
YE1310,Bani Al Harith,Sana'a City,False,False,False,0
YE1308,Ma'in,Sana'a City,False,False,False,0
YE1301,Old City,Sana'a City,False,False,False,0
YE1302,Shu'ub,Sana'a City,False,False,False,0
YE2107,Bayhan,Shabwah,False,False,False,0
YE2108,Markhah Al Olya,Shabwah,False,False,False,0
YE2116,Mayfa'ah,Shabwah,False,False,False,0
YE2110,Nisab,Shabwah,False,False,False,0
YE1521,Al Ma'afer,Ta'iz,False,False,False,0
YE1505,Al Makha,Ta'iz,False,False,False,0
YE1522,Al Mawasit,Ta'iz,False,False,False,0
YE1511,Al Misrakh,Ta'iz,False,False,False,0
YE1517,Al Mudhaffar,Ta'iz,False,False,False,0
YE1518,Al Qahirah,Ta'iz,False,False,False,0
YE1515,Al Wazi'yah,Ta'iz,False,False,False,0
YE1513,As Silw,Ta'iz,False,False,False,0
YE1514,Ash Shamayatayn,Ta'iz,False,False,False,0
YE1520,At Ta'iziyah,Ta'iz,False,False,False,0
YE1506,Dhubab,Ta'iz,False,False,False,0
YE1512,Dimnat Khadir,Ta'iz,False,False,False,0
YE1516,Hayfan,Ta'iz,False,False,False,0
YE1508,Jabal Habashi,Ta'iz,False,False,False,0
YE1504,Maqbanah,Ta'iz,False,False,False,0
YE1509,Mashr'ah Wa Hadnan,Ta'iz,False,False,False,0
YE1501,Mawiyah,Ta'iz,False,False,False,0
YE1507,Mawza',Ta'iz,False,False,False,0
YE1510,Sabir Al Mawadim,Ta'iz,False,False,False,0
YE1519,Salah,Ta'iz,False,False,False,0
YE1523,Sami',Ta'iz,False,False,False,0
YE1503,Shar'ab Ar Rawnah,Ta'iz,False,False,False,0
YE1502,Shar'ab As Salam,Ta'iz,False,False,False,0
